Product,Price,Ounces,Source,Price per ounce,Categories
Mott's Cinnamon Applesauce,3,24,Food City,0.125,0
Mott's Cinnamon Applesauce,9.49,38.4,Food City,0.247135417,0
Mott's Cinnamon No Sugar Added Applesauce,3,24,Food City,0.125,0
Godshall's Fully Cooked Uncured Turkey Bacon,5.49,3,Food City,1.83,1
"Smithfield Bacon, Fully Cooked, Hometown Original Box",4.49,2.1,Food City,2.138095238,1
Hormel Fully Cooked 100% Real Thick Cut Original Bacon,5.99,2.52,Food City,2.376984127,1
Oscar Mayer Fully Cooked Original Bacon,6.99,2.52,Food City,2.773809524,1
Oscar Mayer Fully Cooked Thick Cut Hardwood Smoked Bacon,6.99,2.52,Food City,2.773809524,1
Hormel Black Label Bacon,8.49,12,Food City,0.7075,1
"Rumford Baking Powder, Reduced Sodium CONTAINER",3.59,4,Food City,0.8975,2
Wilton Meringue Powder,9.99,4,Food City,2.4975,2
"Baker's Premium Bittersweet Chocolate Baking Bar, 66% Cacao",4.59,4,Food City,1.1475,2
Food Club Unsweetened Baking Cocoa,4.59,8,Food City,0.57375,2
"Clabber Girl Baking Powder, Double Acting",2.99,8.1,Food City,0.369135802,2
Food Club Double Acting Baking Powder,2.49,8.1,Food City,0.307407407,2
Arm & Hammer Pure Baking Soda,0.99,8,Food City,0.12375,3
Cat's Pride Unscented Lightweight Baking Soda Fragrance Free Unscented Lightweight Baking Soda Clumping Litter Plastic Jug,8.99,10,Food City,0.899,3
"Arm & Hammer Baking Soda, Pure",2.69,12,Food City,0.224166667,3
Arm & Hammer Fridge-n-freezer Baking Soda,1.59,14,Food City,0.113571429,3
Food Club Pure Baking Soda,0.99,16,Food City,0.061875,3
Food Club Pure Baking Soda,3.29,64,Food City,0.05140625,3
Fyffes Bagged Green Bananas,1.99,32,Food City,0.0621875,4
Concord Foods Smoothie Banana,1.5,2,Food City,0.75,4
Fresh Bananas,0.58,16,Food City,0.03625,4
Fresh Organic Bananas,0.79,16,Food City,0.049375,4
Herb Shakerz Basil,4.99,0.17,Food City,29.35294118,5
Herb Blastz Basil,2.29,0.45,Food City,5.088888889,5
That's Tasty Basil,1.99,0.5,Food City,3.98,5
"Buitoni Basil Pesto, Refrigerated Basil Sauce",4.99,7,Food City,0.712857143,5
Bertolli Tomato & Basil Sauce,4.99,24,Food City,0.207916667,5
Mezzetta Tomato Basil Sauce,3.69,25,Food City,0.1476,5
Fresh Blueberries,4.99,16,Food City,0.311875,6
