Product,Price,Ounces,Source,Price per ounce,Categories
Mott's No Sugar Added Cinnamon Applesauce Cups,2.69,24.45454545,Kroger,0.11,0
Mott's No Sugar Added Applesauce Cups,2.69,6,Kroger,0.448333333,0
Mott's Cinnamon Applesauce Jar,3.99,33.25,Kroger,0.12,0
Mott's Cinnamon Applesauce Cups,2.69,20,Kroger,0.1345,0
"Oscar Mayer Fully Cooked Thick Cut Bacon, Box, 7-9 slices",4.99,2.52,Kroger,1.98015873,1
Hormel® Black Label® Oven Ready™ Thick Cut Bacon,6.99,9.32,Kroger,0.75,1
"Hormel® Black Label® Bacon, Thick Cut Fully Cooked Bacon, 2.52 Oz.",4.99,2.52020202,Kroger,1.98,1
"Hormel® Black Label® Bacon, Original Bacon, 16 Oz.",6.99,3.53030303,Kroger,1.98,1
Hormel® Black Label Thick Slice Bacon,6.99,2.52,Kroger,2.773809524,1
"HORMEL BLACK LABEL Bacon, Original, Ready-to-Cook, Microwave Ready Bacon, 12 oz.",9.99,2.52,Kroger,3.964285714,1
Rumford Baking Powder - Gluten Free,3.99,12.87096774,Kroger,0.31,2
Kroger® Baking Powder,2.49,6.72972973,Kroger,0.37,2
"Clabber Girl Baking Powder, Gluten-Free",2.99,5,Kroger,0.598,2
Kroger® Pure Baking Soda,0.99,16.5,Kroger,0.06,3
ARM & HAMMER Pure Baking Soda Refillable Shaker,2.49,2,Kroger,1.245,3
ARM & HAMMER Pure Baking Soda,2.49,22.63636364,Kroger,0.11,3
ARM & HAMMER Pure Baking Soda,1.79,16,Kroger,0.111875,3
ARM & HAMMER Fridge-N-Freezer Baking Soda Odor Absorber,1.59,1,Kroger,1.59,3
Fresh Yellow Banana Peppers,1.94,0.648829431,Kroger,2.99,4
Fresh Bunch of Organic Bananas 5-7 Bananas,1.58,2.106666667,Kroger,0.75,4
Fresh Bunch of Bananas 5-7 Bananas,1.16,2.109090909,Kroger,0.55,4
Kroger® Fresh Grape Tomatoes,2.99,10,Kroger,0.299,5
Garlic,0.99,0.2,Kroger,4.95,5
Fresh On the Vine Red Tomatoes by the Bunch (4-5 tomatoes per bunch),3.07,1.340611354,Kroger,2.29,5
Simple Truth Organic® Blueberries,7.99,18,Kroger,0.443888889,6
Simple Truth Organic® Blueberries,4.29,6,Kroger,0.715,6
Private Selection® Fresh Colossal Blueberries,4.99,9.8,Kroger,0.509183673,6
Fresh Blueberries - 6 OZ Clamshell,6.99,6,Kroger,1.165,6
Fresh Blueberries - 18 OZ - Clamshell,4.29,18,Kroger,0.238333333,6
Fresh Blueberries - 1 PT Clamshell,4.29,19.2,Kroger,0.2234375,6
Kroger® Traditional Favorites Frozen Broccoli Florets,1.49,12,Kroger,0.124166667,7
Broccoli Crowns,1.78,0.68,Kroger,2.617647059,7
Broccoli Bunch,3.49,1.347490347,Kroger,2.59,7
"Birds Eye Steamfresh Broccoli Florets, Frozen Vegetables",2.29,12,Kroger,0.190833333,7
"Birds Eye Steamfresh Broccoli Cuts, Frozen Vegetables",1.49,12.41666667,Kroger,0.12,7
Simple Truth Organic® Light Brown Sugar,3.99,23.47058824,Kroger,0.17,8
Simple Truth Organic® Cane Sugar,2.79,21.46153846,Kroger,0.13,8
Kroger® Light Brown Sugar,2.59,2,Kroger,1.295,8
Kroger® Dark Brown Sugar,2.59,24,Kroger,0.107916667,8
Domino Premium Pure Cane Light Brown Sugar Zipper-Pack,4.29,2,Kroger,2.145,8
Domino Premium Pure Cane Dark Brown Sugar Zipper-Pack,4.29,53.625,Kroger,0.08,8
Imperial Vegetable Oil Spread Tub,2.29,4,Kroger,0.5725,9
Imperial Vegetable Oil Spread Sticks 16 oz,1.29,16.125,Kroger,0.08,9
Perdue® Frozen Fully Cooked Breaded Popcorn Chicken Breast Chunks,10.99,12.5,Kroger,0.8792,10
Kroger® Premium Natural Chicken Breast Chunk in Water,4.39,2.5,Kroger,1.756,10
Kroger® Premium Chunk Chicken Breast in Water,2.49,5,Kroger,0.498,10
Kroger® Premium Chicken Breast Chunk in Water,13.99,53.80769231,Kroger,0.26,10
Kroger® Premium Chicken Breast Chunk in Water,1.29,3.685714286,Kroger,0.35,10
Simple Truth Organic® No Salt Added Petite Diced Tomatoes,1.5,21.42857143,Kroger,0.07,11
Kroger® Petite Diced Tomatoes,1,15,Kroger,0.066666667,11
Kroger® Petite Diced Tomatoes,1.89,27,Kroger,0.07,11
Hunt's Petite Diced Tomatoes,1.33,28,Kroger,0.0475,11
Bush's Dark Red Kidney Beans 16 oz,1.25,16,Kroger,0.078125,12
Simple Truth Organic® Low Sodium Dark Red Kidney Beans,4.29,71.5,Kroger,0.06,12
Simple Truth Organic® Dark Red Kidney Beans,1.25,15.5,Kroger,0.080645161,12
Kroger® No Salt Added Dark Red Kidney Beans,1,16.66666667,Kroger,0.06,12
Kroger® Dark Red Kidney Beans,1,16,Kroger,0.0625,12
Bush's Dark Red Kidney Beans 16 oz,1.25,16,Kroger,0.078125,12
Simple Truth Organic® Pinto Beans,1.25,15,Kroger,0.083333333,13
Simple Truth Organic® Pinto Beans,4.29,60,Kroger,0.0715,13
Simple Truth Organic™ Pinto Beans,4.29,27,Kroger,0.158888889,13
Kroger® Red Beans,1,15,Kroger,0.066666667,13
Bush's Pinto Beans 27 oz,2.69,26.9,Kroger,0.1,13
Bush's Best® Reduced Sodium Black Beans,1.25,4,Kroger,0.3125,13
Kroger® Whole Carrots Bag,2.29,32,Kroger,1.145,14
Jumbo Yellow Onions,0.6,0.504201681,Kroger,1.19,14
Jumbo Sweet Onions,0.75,0.503355705,Kroger,1.49,14
Celery,1.49,1.5,Kroger,0.993333333,14
Broccoli Crowns,1.78,0.68,Kroger,2.59,14
Private Selection® Long Celery Sticks,3.29,16,Kroger,0.205625,15
Organic Celery,2.49,1.5,Kroger,1.66,15
Kroger® Cut & Peeled Carrot Sticks,1.99,12,Kroger,0.165833333,15
Fresh Cut Celery and Carrot Sticks,5,14,Kroger,0.357142857,15
Celery Hearts,3.79,16,Kroger,0.236875,15
Dr Pepper Cherry Soda Cans,10.99,137.375,Kroger,0.08,16
Coca-Cola® Vanilla Soda Cans,10.99,12,Kroger,0.915833333,16
Coca-Cola® Soda Cans,10.99,12,Kroger,0.915833333,16
Coca-Cola® Cherry Zero Sugar Soda Cans,10.99,137.375,Kroger,0.08,16
Coca-Cola® Cherry Soda Cans,10.99,12,Kroger,0.915833333,16
PERDUE� Boneless Skinless Chicken Breasts,9.46,25.26,Kroger,0.374505146,17
Kroger� Boneless Skinless Uncooked Chicken Breast With Rib Meat Thin-Sliced,5,20,Kroger,0.25,17
Heritage Farm� Boneless Skinless Chicken Breasts,13.46,72,Kroger,0.186944444,17
Simple Truth Organic™ Dutched Unsweetened Cocoa Powder,6.99,8,Kroger,0.87375,18
Bob's Red Mill Gluten Free Almond Flour,8.99,15.5,Kroger,0.58,18
Bob's Red Mill Gluten Free 1-to-1 Baking Flour,4.99,8.910714286,Kroger,0.56,18
