Product,Price,Ounces,Source,Price per ounce,Categories
Tropicana Orange Juice,9.49,89,Publix,0.106629213,51
Daiya Cheddar Cheese,5.49,7.1,Publix,0.773239437,25
Baby Spinach,6.99,10,Publix,0.699,64
Bananas,0.59,16,Publix,0.036875,4
Yellow Onion,2.99,48,Publix,0.062291667,49
Russet Potatoes,3.99,80,Publix,0.049875,60
Russet Potatoes,4.99,26,Publix,0.191923077,60
Oranges,5.89,48,Publix,0.122708333,52
Garlic,4.99,16,Publix,0.311875,31
White Onion,2.49,16,Publix,0.155625,47
Red Onion,1.59,16,Publix,0.099375,48
Yellow Onion,1.49,16,Publix,0.093125,49
Tomatoes,2.49,16,Publix,0.155625,70
3 Tomatoes,1.99,16,Publix,0.124375,70
