Product,Price,Ounces,Source,Price per ounce,Categories
Banana,0.23,4.2,Trader Joe's,0.054761905,4
Zucchini,2.49,19,Trader Joe's,0.131052632,49
Red Pepper,1.49,5,Trader Joe's,0.298,58
Yellow Pepper,1.49,5,Trader Joe's,0.298,77
Orange Pepper,1.49,5,Trader Joe's,0.298,50
Green pepper,0.89,5,Trader Joe's,0.178,33
Granny Smith Apple,2.99,32,Trader Joe's,0.0934375,32
Gala Apple,2.99,32,Trader Joe's,0.0934375,30
Granny Smith Apple,0.69,9,Trader Joe's,0.076666667,32
Gala Apple,0.69,8,Trader Joe's,0.08625,30
Blackberries,5.99,12,Trader Joe's,0.499166667,
Green Grapes,5.99,32,Trader Joe's,0.1871875,34
Strawberries,4.99,16,Trader Joe's,0.311875,66
Blueberries,3.99,11,Trader Joe's,0.362727273,6
Pineapple,3.99,16,Trader Joe's,0.249375,54
Tomatoes,3.49,16,Trader Joe's,0.218125,70
Cherry Tomatoes,4.99,12,Trader Joe's,0.415833333,70
White Onion,1.29,5.7,Trader Joe's,0.226315789,47
Yellow Onion,1.19,5.7,Trader Joe's,0.20877193,49
Russet Potato,3.49,80,Trader Joe's,0.043625,60
Russet Potato,0.99,6.5,Trader Joe's,0.152307692,60
Garlic,0.49,0.2,Trader Joe's,2.45,31
Shredded Carrots,1.99,16,Trader Joe's,0.124375,14
Carrots,0.99,16,Trader Joe's,0.061875,14
Celery,2.49,16,Trader Joe's,0.155625,15
Romaine Hearts,2.99,10,Trader Joe's,0.299,41
Spinach,2.49,12,Trader Joe's,0.2075,64
