Product,Price,Ounces,Source,Price per ounce,Categories
"Fresh Personal Seedless Watermelon, Each",4.18,280,Walmart,0.014928571,75
"Fresh Seedless Watermelon, Each",7.88,280,Walmart,0.028142857,75
"Great Value All Purpose Flour, 10 lb Bag",4.57,160,Walmart,0.0285625,26
"Great Value Iodized Salt, 26 oz",0.76,26,Walmart,0.029230769,61
"Great Value Plain Salt, 26 oz",0.76,26,Walmart,0.029230769,61
"Great Value All-Purpose Enriched Flour, 5 lb Bag",2.38,80,Walmart,0.02975,26
"Great Value All-Purpose Unbleached Flour, 5 lb Bag",2.43,80,Walmart,0.030375,26
"Fresh Whole Russet Bag, 5 lb bag",2.47,80,Walmart,0.030875,60
"Great Value Distilled White Vinegar, 128 fl oz",3.97,128,Walmart,0.031015625,74
"Great Value Long Grain Enriched Rice, 20 lbs",11.14,320,Walmart,0.0348125,59
"Great Value All-Purpose Vinegar Cleaning Solution, 64 fl oz",2.48,64,Walmart,0.03875,74
"Coca-Cola Cherry Soda Pop, 2 Liter Bottle",2.74,67.6,Walmart,0.040532544,16
"Fresh Pineapple, Each",2.28,56,Walmart,0.040714286,54
Great Value All Purpose Enriched Flour 2LB Bag,1.32,32,Walmart,0.04125,26
"Great Value Long Grain Enriched Rice, 5 lbs",3.34,80,Walmart,0.04175,59
Fresh Idaho Russet Potatoes 4 lb Bag,2.74,64,Walmart,0.0428125,60
"Russet Potatoes, 10 lb Bag, Whole",7.34,160,Walmart,0.045875,60
"Great Value Distilled White Vinegar, 64 fl oz",2.97,64,Walmart,0.04640625,74
"(2 pack) Great Value Vegetable Broth, 32 oz Carton, Shelf-Stable/Ambient, Gluten-Free",3,64,Walmart,0.046875,73
"Great Value Vegetable Broth, 32 oz Carton, Shelf-Stable/Ambient, Gluten-Free",1.5,32,Walmart,0.046875,73
"Gold Medal All Purpose Flour, Baking Flour, 5 lb Bag",3.97,80,Walmart,0.049625,26
"Great Value Baking Soda, 4 lb",3.24,64,Walmart,0.050625,3
"Great Value Tomato Sauce, 29 oz",1.48,29,Walmart,0.051034483,71
"Coca-Cola Cherry Soda Pop, 16.9 fl oz, 6 Pack Bottles",5.28,101.4,Walmart,0.052071006,16
"ARM & HAMMER Pure Baking Soda & All Purpose Cleaner for Baking & Deodorizing, 4 lb Box",3.34,64,Walmart,0.0521875,3
"Great Value Diced Tomatoes in Tomato Juice, 28 oz",1.48,28,Walmart,0.052857143,11
"Great Value Pure Granulated Sugar, 10 lb",8.46,160,Walmart,0.052875,68
"Fresh Whole Russet Potatoes , 5 lb Bag",4.24,80,Walmart,0.053,60
"Quaker, Quick 5-Minute Grits, 80 oz Box",4.28,80,Walmart,0.0535,35
"Great Value Pure Granulated Sugar, 4 lb",3.46,64,Walmart,0.0540625,68
"Coca-Cola Cherry Soda Pop, 12 fl oz, 12 Pack Cans",7.88,144,Walmart,0.054722222,16
"Coca-Cola Zero Sugar Cherry Soda Pop, 12 fl oz, 12 Pack Cans",7.88,144,Walmart,0.054722222,16
"Great Value Distilled White Vinegar, 32 fl oz",1.76,32,Walmart,0.055,74
"Great Value Long Grain Enriched Rice, 32 oz",1.77,32,Walmart,0.0553125,59
"Great Value Dark Red Kidney Beans, 15.5 oz",0.86,15.5,Walmart,0.055483871,12
"Great Value Dark Red Kidney Beans, No Salt Added, 15.5 oz",0.86,15.5,Walmart,0.055483871,12
"Great Value Great Northern Beans, 15.5 oz",0.86,15.5,Walmart,0.055483871,13
"Great Value Baking Soda, 1 lb",0.92,16,Walmart,0.0575,3
"Great Value Long Grain Enriched Rice, 16 oz",0.92,16,Walmart,0.0575,59
"Jumbo Russet Potatoes Whole Fresh, 8 lb Bag",7.42,128,Walmart,0.05796875,60
"Great Value Tomato Sauce, 8 oz Can",0.48,8,Walmart,0.06,71
"Fresh Yellow Onions, 3 lb Bag",2.94,48,Walmart,0.06125,49
"Great Value Organic Vegetable Broth, 32 oz Carton, Shelf-Stable/Ambient, Gluten-Free",1.98,32,Walmart,0.061875,73
"Progresso Vegetable Broth, Vegetarian, Gluten Free, 32 oz.",1.98,32,Walmart,0.061875,73
"Swanson Vegetable Broth, 32 oz Carton",1.98,32,Walmart,0.061875,73
"Silk Dairy Free, Gluten Free, Original Soy Milk, 64 fl oz Half Gallon",3.97,64,Walmart,0.06203125,43
"Silk Dairy Free, Gluten Free, Unsweet Organic Soy Milk, 64 fl oz Half Gallon",3.97,64,Walmart,0.06203125,43
"Great Value Tomato Sauce, 15 oz",0.96,15,Walmart,0.064,71
"(12 pack) Morton Salt, Iodized, 26 oz Round Can",20.04,312,Walmart,0.064230769,61
"Morton Salt, Iodized, 26 oz Round Can",1.67,26,Walmart,0.064230769,61
"Morton Salt, Plain, 26 oz Round Can",1.67,26,Walmart,0.064230769,61
"King Arthur Baking Company Non-GMO Project Verified, Certified Kosher Unbleached All Purpose Flour, 5 lb Bag",5.24,80,Walmart,0.0655,26
"Great Value Diced Tomatoes in Tomato Juice, 14.5 oz Can",0.96,14.5,Walmart,0.066206897,11
"Great Value Italian-Style Petite Diced Tomatoes with Basil, Garlic and Oregano, 14.5 oz",0.96,14.5,Walmart,0.066206897,11
"Great Value Petite Diced Tomatoes in Tomato Juice, 14.5 oz",0.96,14.5,Walmart,0.066206897,11
"(2 pack) Hanover Redskin Kidney Beans Dark Red, 40.5 oz Can  Family-Size Seasoned Beans for Chili, Rice, and Sides",5.44,80.5,Walmart,0.06757764,12
"(3 pack) Great Value Confectioners Powdered Sugar, 32 oz",6.66,96,Walmart,0.069375,56
"(4 pack) Great Value Light Brown Sugar, 32 oz",8.88,128,Walmart,0.069375,8
"Great Value Confectioners Powdered Sugar, 32 oz",2.22,32,Walmart,0.069375,56
"Great Value Light Brown Sugar, 32 oz",2.22,32,Walmart,0.069375,8
"Domino Premium Pure Cane Granulated Sugar, 4 lb",4.46,64,Walmart,0.0696875,68
"Great Value Great Northern Beans, 32 oz",2.26,32,Walmart,0.070625,13
"(3 pack) Great Value Great Northern Beans, 32 oz",6.78,96,Walmart,0.070625,13
"ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 3 lb Resealable Bag",3.42,48,Walmart,0.07125,3
"Fresh White Onions, 3 lb Bag",3.44,48,Walmart,0.071666667,47
"Great Value Apple Cider Vinegar, 32 fl oz",2.36,32,Walmart,0.07375,74
Luck's Great Northern Beans Seasoned with Pork 15 oz Can,1.13,15,Walmart,0.075333333,13
"Great Value Marinara Pasta Sauce, 23 oz",1.74,23,Walmart,0.075652174,42
"Fresh Red Onions, 3 lb, Bag",3.64,48,Walmart,0.075833333,48
"(2 pack) Mott's Cinnamon Applesauce, 48 Ounce, Jar",7.36,96,Walmart,0.076666667,0
"Fresh Roma Tomato, Each",0.23,3,Walmart,0.076666667,70
"Mott's Cinnamon Applesauce, 48 Ounce, Jar",3.68,48,Walmart,0.076666667,0
"Great Value Organic Dark Red Kidney Beans, 15 oz",1.16,15,Walmart,0.077333333,12
"Great Value Frozen Whole Kernel Corn, 32 oz Steamable Bag",2.48,32,Walmart,0.0775,29
"Imperial Vegetable Oil Spread, 1 lb Box 4 Sticks (Refrigerated)",1.24,16,Walmart,0.0775,9
"Imperial Vegetable Oil Spread, 16 oz Box, 4 Sticks (Refrigerated)",1.24,16,Walmart,0.0775,9
"Mahatma Gluten-Free Enriched Extra Long Grain White Rice, 2 lb Bag",2.48,32,Walmart,0.0775,59
"Great Value Canola Oil, 1 gal",9.98,128,Walmart,0.07796875,45
"Fresh Banana, Each",0.2,2.5,Walmart,0.08,4
"Fresh Sweet Onions, 3 lb, Bag",3.88,48,Walmart,0.080833333,47
"Great Value Canned Pineapple Tidbits, 20 oz",1.62,20,Walmart,0.081,54
"Great Value Fire Roasted Diced Tomatoes, 14.5 oz",1.18,14.5,Walmart,0.08137931,11
"Great Value Frozen Whole Kernel Corn, 12 oz Steamable Bag",0.98,12,Walmart,0.081666667,29
"Tropicana Pure Premium Original No Pulp 100% Orange Juice, 128 Fl Oz Jug",10.46,128,Walmart,0.08171875,51
"Organic Fresh Whole Carrots, 2 lb Bag",2.62,32,Walmart,0.081875,14
